,european_identity,eu_migrants,noneu_migrants,socialclass,life_satisfaction,national_econ,job_situation,attachment_country,rightwing,age,gender
230,2.0,1.0,0.0,2,2,2.0,2.0,3.0,2.0,56,1
231,3.0,1.0,1.0,3,3,3.0,3.0,2.0,2.0,37,0
232,2.0,0.0,1.0,3,4,3.0,3.0,4.0,2.0,35,1
233,4.0,1.0,1.0,2,3,3.0,3.0,1.0,1.0,28,1
234,3.0,1.0,1.0,3,4,3.0,3.0,2.0,1.0,33,1
236,1.0,0.0,0.0,1,4,2.0,3.0,4.0,3.0,64,1
237,2.0,1.0,0.0,3,3,3.0,3.0,3.0,3.0,49,0
238,2.0,1.0,1.0,3,4,2.0,3.0,4.0,1.0,31,0
239,2.0,1.0,0.0,3,3,3.0,3.0,3.0,2.0,48,0
240,2.0,0.0,0.0,3,3,3.0,4.0,4.0,3.0,73,0
241,2.0,1.0,1.0,4,4,3.0,4.0,4.0,1.0,31,0
242,2.0,0.0,0.0,3,3,2.0,1.0,3.0,3.0,59,1
243,2.0,0.0,0.0,1,3,3.0,3.0,4.0,4.0,71,1
244,2.0,0.0,0.0,3,3,3.0,4.0,3.0,4.0,63,0
245,1.0,0.0,0.0,1,4,2.0,3.0,4.0,3.0,78,0
246,2.0,0.0,0.0,3,3,3.0,3.0,3.0,3.0,66,0
247,2.0,0.0,0.0,1,3,2.0,4.0,3.0,4.0,72,1
248,1.0,1.0,1.0,3,2,3.0,2.0,4.0,4.0,74,1
249,1.0,1.0,0.0,3,2,3.0,3.0,4.0,2.0,69,0
250,3.0,0.0,0.0,3,3,2.0,3.0,4.0,4.0,65,1
251,2.0,0.0,0.0,3,4,3.0,3.0,4.0,4.0,73,1
252,1.0,0.0,0.0,2,2,2.0,4.0,2.0,3.0,49,0
253,2.0,0.0,0.0,1,3,3.0,4.0,4.0,4.0,72,0
254,2.0,1.0,1.0,1,2,3.0,3.0,2.0,3.0,50,1
255,2.0,0.0,0.0,3,3,3.0,3.0,4.0,3.0,92,1
256,2.0,1.0,0.0,3,3,3.0,3.0,2.0,4.0,55,1
257,1.0,1.0,1.0,2,3,3.0,3.0,4.0,3.0,69,1
258,2.0,1.0,0.0,2,3,3.0,4.0,2.0,3.0,37,1
259,1.0,1.0,0.0,1,2,3.0,2.0,3.0,3.0,53,0
260,2.0,1.0,0.0,3,3,3.0,4.0,3.0,3.0,52,0
261,3.0,1.0,0.0,3,3,4.0,4.0,4.0,2.0,64,1
262,2.0,1.0,0.0,1,3,3.0,4.0,4.0,2.0,60,0
263,2.0,1.0,0.0,2,3,3.0,4.0,3.0,4.0,45,1
264,3.0,1.0,1.0,3,3,3.0,3.0,4.0,4.0,48,1
